w	f(w)	nodes
0	5	0
1	10	5
2	15	5
3	20	5
4	23	87
5	28	5
6	33	5
7	36	213
8	41	5
9	46	5
10	49	389
11	53	507
12	58	5
13	62	383
14	66	362
15	70	919
16	74	1411
17	79	5
18	83	437
19	87	602
20	92	5
21	96	171
22	99	3332
23	103	5527
24	107	7636
25	111	12966
26	114	114674
27	116	2942697
28	118	44265853
29	120	241010986
# L_5 = 5! + 5 - 1 + 29 = 153
